"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,4.16021473473787,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,3.86482729568858,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,5.12665142327924,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,5.11709223358025,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,5.16332430807012,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,7.54021538528512,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,8.06002312504821,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,8.22294254968237,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.64606010613629,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.76965394829094,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.04944809435652,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.80067307110062,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.84489342852911,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.24708306409206,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.91212794267294,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.22572892486501,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,-1.7688745811016,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,-1.93191997708127,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,-1.59776493206594,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.25856408342921,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.00485515161767,,
"B6BLTT02","Current account as a % of GDP, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,-1.38000894541413,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,-6.83038529299465,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,-8.45085836458536,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,-7.71026327644869,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,-8.87060576493365,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,-11.4861929104867,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,-15.1877186340701,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,-15.1125836122277,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,-12.3460126114139,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,-11.383814207659,,
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,-10.0029524702725,"P","Provisional value"
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,-3.82994263531971,"P","Provisional value"
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,-2.04036133293467,"P","Provisional value"
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.63931125794592,"P","Provisional value"
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.23107907423226,"P","Provisional value"
"B6BLTT02","Current account as a % of GDP, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,-1.06431453175716,"P","Provisional value"
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,0.247214590318864,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,0.492591840448813,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,-0.0979869901095367,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,-3.5423101065249,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,-5.3509985193832,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,-6.5061799404275,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,-6.50897395284824,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,-4.89485693769378,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,-1.53177601009789,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,-2.02571557199772,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,-2.6241571305332,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.13756896194642,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.64801418119349,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,9.9813985216064,,
"B6BLTT02","Current account as a % of GDP, s.a.","IRL","Ireland","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,4.55170444188492,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1958","1958","PC","Percentage","0","Units",,,1.57446808510638,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1959","1959","PC","Percentage","0","Units",,,0.742242952747921,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1960","1960","PC","Percentage","0","Units",,,-0.838495240972956,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1961","1961","PC","Percentage","0","Units",,,0.238078317106105,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1962","1962","PC","Percentage","0","Units",,,0.594025797691785,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1963","1963","PC","Percentage","0","Units",,,0.472481164602222,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1964","1964","PC","Percentage","0","Units",,,-1.02809743559787,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1965","1965","PC","Percentage","0","Units",,,-0.167404687331245,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1966","1966","PC","Percentage","0","Units",,,0.310817981957395,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1967","1967","PC","Percentage","0","Units",,,-0.711200210018854,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1968","1968","PC","Percentage","0","Units",,,-0.654234046252826,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1969","1969","PC","Percentage","0","Units",,,0.823482268082549,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1970","1970","PC","Percentage","0","Units",,,1.3012442814675,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1971","1971","PC","Percentage","0","Units",,,1.62515091821821,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1972","1972","PC","Percentage","0","Units",,,0.0424550330441674,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1973","1973","PC","Percentage","0","Units",,,-1.49825996703095,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1974","1974","PC","Percentage","0","Units",,,-3.75553950163355,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1975","1975","PC","Percentage","0","Units",,,-1.62620684864902,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1976","1976","PC","Percentage","0","Units",,,-0.860174225441588,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1977","1977","PC","Percentage","0","Units",,,-0.326860821159542,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1978","1978","PC","Percentage","0","Units",,,0.302202529467435,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1979","1979","PC","Percentage","0","Units",,,-0.58593130928932,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1980","1980","PC","Percentage","0","Units",,,0.54007893461352,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1981","1981","PC","Percentage","0","Units",,,1.5294982045471,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1982","1982","PC","Percentage","0","Units",,,0.558251438703553,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1983","1983","PC","Percentage","0","Units",,,0.219019680442027,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1984","1984","PC","Percentage","0","Units",,,-0.491289217062435,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1985","1985","PC","Percentage","0","Units",,,-0.28043097305937,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1986","1986","PC","Percentage","0","Units",,,-0.953806624588058,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1987","1987","PC","Percentage","0","Units",,,-1.58629492723861,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1988","1988","PC","Percentage","0","Units",,,-3.53942362324782,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1989","1989","PC","Percentage","0","Units",,,-4.07840379713457,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1990","1990","PC","Percentage","0","Units",,,-3.09277887820379,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1991","1991","PC","Percentage","0","Units",,,-1.3202748692214,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1992","1992","PC","Percentage","0","Units",,,-1.52483865302718,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,-1.32587736514639,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,-0.485883092831333,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,-0.673656940793828,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,-0.575064588180446,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,-0.204902257510358,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,-0.423214428306748,,
"B6BLTT02","Current account as a % of GDP, s.a.","GBR","United Kingdom","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,-2.62772432254969,,
