"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1960","1960","PC","Percentage","0","Units",,,2.474965,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1961","1961","PC","Percentage","0","Units",,,1.326665,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1962","1962","PC","Percentage","0","Units",,,6.212971,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1963","1963","PC","Percentage","0","Units",,,6.97549,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1964","1964","PC","Percentage","0","Units",,,5.978494,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1965","1965","PC","Percentage","0","Units",,,2.364606,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1966","1966","PC","Percentage","0","Units",,,6.297786,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1967","1967","PC","Percentage","0","Units",,,5.091587,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1968","1968","PC","Percentage","0","Units",,,7.050657,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1969","1969","PC","Percentage","0","Units",,,7.167345,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1970","1970","PC","Percentage","0","Units",,,4.003308,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,3.911782,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,2.599313,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,4.096769,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,1.332863,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,2.590952,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1976","1976","PC","Percentage","0","Units",,,3.607674,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1977","1977","PC","Percentage","0","Units",,,0.898234,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,4.055965,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,3.052417,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,3.356421,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,3.319422,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,-2.23096,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,4.630766,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,5.24935,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,4.100204,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,2.578442,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,5.776852,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,3.88082,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1989","1989","PC","Percentage","0","Units",,,3.530801,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1990","1990","PC","Percentage","0","Units",,,-0.375333,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,0.436464,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,4.061994,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,4.051611,,
