LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GGNLEND,TOT,PC_GDP,A,1970,-1.250496229,
AUS,GGNLEND,TOT,PC_GDP,A,1971,-1.216468419,
AUS,GGNLEND,TOT,PC_GDP,A,1972,-1.664823565,
AUS,GGNLEND,TOT,PC_GDP,A,1973,-0.524420399,
AUS,GGNLEND,TOT,PC_GDP,A,1974,-3.112129433,
AUS,GGNLEND,TOT,PC_GDP,A,1975,-4.00898898,
AUS,GGNLEND,TOT,PC_GDP,A,1976,-3.932326913,
AUS,GGNLEND,TOT,PC_GDP,A,1977,-4.804896418,
AUS,GGNLEND,TOT,PC_GDP,A,1978,-4.506654971,
AUS,GGNLEND,TOT,PC_GDP,A,1979,-2.890840092,
AUS,GGNLEND,TOT,PC_GDP,A,1980,-3.098517471,
AUS,GGNLEND,TOT,PC_GDP,A,1981,-3.500028479,
AUS,GGNLEND,TOT,PC_GDP,A,1982,-5.471947544,
AUS,GGNLEND,TOT,PC_GDP,A,1983,-5.876948318,
AUS,GGNLEND,TOT,PC_GDP,A,1984,-5.56626865,
AUS,GGNLEND,TOT,PC_GDP,A,1985,-5.011627683,
AUS,GGNLEND,TOT,PC_GDP,A,1986,-3.384918037,
AUS,GGNLEND,TOT,PC_GDP,A,1987,-1.632988214,
AUS,GGNLEND,TOT,PC_GDP,A,1988,-0.920857908,
AUS,GGNLEND,TOT,PC_GDP,A,1989,-1.951308877,
AUS,GGNLEND,TOT,PC_GDP,A,1990,-3.156759678,
AUS,GGNLEND,TOT,PC_GDP,A,1991,-5.681767072,
AUS,GGNLEND,TOT,PC_GDP,A,1992,-6.066292561,
AUS,GGNLEND,TOT,PC_GDP,A,1993,-4.289284625,
AUS,GGNLEND,TOT,PC_GDP,A,1994,-3.992785608,
AUS,GGNLEND,TOT,PC_GDP,A,1995,-2.687647247,
AUS,GGNLEND,TOT,PC_GDP,A,1996,-0.848564086,
AUS,GGNLEND,TOT,PC_GDP,A,1997,0.511480249,
AUS,GGNLEND,TOT,PC_GDP,A,1998,0.775894198,
AUS,GGNLEND,TOT,PC_GDP,A,1999,2.067914638,
AUS,GGNLEND,TOT,PC_GDP,A,2000,-1.077520766,
AUS,GGNLEND,TOT,PC_GDP,A,2001,-0.67644371,
AUS,GGNLEND,TOT,PC_GDP,A,2002,0.813611315,
AUS,GGNLEND,TOT,PC_GDP,A,2003,0.815958801,
AUS,GGNLEND,TOT,PC_GDP,A,2004,1.012208146,
AUS,GGNLEND,TOT,PC_GDP,A,2005,1.681398065,
AUS,GGNLEND,TOT,PC_GDP,A,2006,1.587990545,
AUS,GGNLEND,TOT,PC_GDP,A,2007,0.662307982,
AUS,GGNLEND,TOT,PC_GDP,A,2008,-3.876334934,
AUS,GGNLEND,TOT,PC_GDP,A,2009,-5.60420113,
AUS,GGNLEND,TOT,PC_GDP,A,2010,-4.482332651,
AUS,GGNLEND,TOT,PC_GDP,A,2011,-4.528661144,
AUS,GGNLEND,TOT,PC_GDP,A,2012,-2.900809841,
AUS,GGNLEND,TOT,PC_GDP,A,2013,-3.015774144,
AUS,GGNLEND,TOT,PC_GDP,A,2014,-2.545386591,
AUS,GGNLEND,TOT,PC_GDP,A,2015,-2.899366355,
AUT,GGNLEND,TOT,PC_GDP,A,1995,-6.133971278,
AUT,GGNLEND,TOT,PC_GDP,A,1996,-4.503610369,
AUT,GGNLEND,TOT,PC_GDP,A,1997,-2.575791199,
AUT,GGNLEND,TOT,PC_GDP,A,1998,-2.696226841,
AUT,GGNLEND,TOT,PC_GDP,A,1999,-2.595886654,
AUT,GGNLEND,TOT,PC_GDP,A,2000,-2.404669559,
AUT,GGNLEND,TOT,PC_GDP,A,2001,-0.661575545,
AUT,GGNLEND,TOT,PC_GDP,A,2002,-1.381174923,
AUT,GGNLEND,TOT,PC_GDP,A,2003,-1.786425452,
AUT,GGNLEND,TOT,PC_GDP,A,2004,-4.804986015,
AUT,GGNLEND,TOT,PC_GDP,A,2005,-2.508353536,
AUT,GGNLEND,TOT,PC_GDP,A,2006,-2.535440659,
AUT,GGNLEND,TOT,PC_GDP,A,2007,-1.354608599,
AUT,GGNLEND,TOT,PC_GDP,A,2008,-1.495265332,
AUT,GGNLEND,TOT,PC_GDP,A,2009,-5.329709674,
AUT,GGNLEND,TOT,PC_GDP,A,2010,-4.441277197,
AUT,GGNLEND,TOT,PC_GDP,A,2011,-2.55356277,
AUT,GGNLEND,TOT,PC_GDP,A,2012,-2.189058043,
AUT,GGNLEND,TOT,PC_GDP,A,2013,-1.950077521,
AUT,GGNLEND,TOT,PC_GDP,A,2014,-2.685392915,
AUT,GGNLEND,TOT,PC_GDP,A,2015,-1.033759247,
AUT,GGNLEND,TOT,PC_GDP,A,2016,-1.642943845,
BEL,GGNLEND,TOT,PC_GDP,A,1995,-4.445887311,
BEL,GGNLEND,TOT,PC_GDP,A,1996,-3.931326131,
BEL,GGNLEND,TOT,PC_GDP,A,1997,-2.124940313,
BEL,GGNLEND,TOT,PC_GDP,A,1998,-0.947973812,
BEL,GGNLEND,TOT,PC_GDP,A,1999,-0.550883198,
BEL,GGNLEND,TOT,PC_GDP,A,2000,-0.071914864,
BEL,GGNLEND,TOT,PC_GDP,A,2001,0.171903665,
BEL,GGNLEND,TOT,PC_GDP,A,2002,0.045298368,
BEL,GGNLEND,TOT,PC_GDP,A,2003,-1.761025204,
BEL,GGNLEND,TOT,PC_GDP,A,2004,-0.158146274,
BEL,GGNLEND,TOT,PC_GDP,A,2005,-2.757665962,
BEL,GGNLEND,TOT,PC_GDP,A,2006,0.223013322,
BEL,GGNLEND,TOT,PC_GDP,A,2007,0.068897995,
BEL,GGNLEND,TOT,PC_GDP,A,2008,-1.099964724,
BEL,GGNLEND,TOT,PC_GDP,A,2009,-5.379735312,
BEL,GGNLEND,TOT,PC_GDP,A,2010,-3.997337719,
BEL,GGNLEND,TOT,PC_GDP,A,2011,-4.12572938,
BEL,GGNLEND,TOT,PC_GDP,A,2012,-4.226476329,
BEL,GGNLEND,TOT,PC_GDP,A,2013,-3.137586347,
BEL,GGNLEND,TOT,PC_GDP,A,2014,-3.056322919,
BEL,GGNLEND,TOT,PC_GDP,A,2015,-2.471644732,
BEL,GGNLEND,TOT,PC_GDP,A,2016,-2.489549659,
CAN,GGNLEND,TOT,PC_GDP,A,1981,-2.902040472,
CAN,GGNLEND,TOT,PC_GDP,A,1982,-6.923440881,
CAN,GGNLEND,TOT,PC_GDP,A,1983,-8.02900229,
CAN,GGNLEND,TOT,PC_GDP,A,1984,-7.970137514,
CAN,GGNLEND,TOT,PC_GDP,A,1985,-8.791647844,
CAN,GGNLEND,TOT,PC_GDP,A,1986,-7.352083135,
CAN,GGNLEND,TOT,PC_GDP,A,1987,-5.769977235,
CAN,GGNLEND,TOT,PC_GDP,A,1988,-4.528980575,
CAN,GGNLEND,TOT,PC_GDP,A,1989,-4.736288276,
CAN,GGNLEND,TOT,PC_GDP,A,1990,-5.932781816,
CAN,GGNLEND,TOT,PC_GDP,A,1991,-8.389524249,
CAN,GGNLEND,TOT,PC_GDP,A,1992,-9.230201992,
CAN,GGNLEND,TOT,PC_GDP,A,1993,-8.963911212,
CAN,GGNLEND,TOT,PC_GDP,A,1994,-6.957633055,
CAN,GGNLEND,TOT,PC_GDP,A,1995,-5.507175746,
CAN,GGNLEND,TOT,PC_GDP,A,1996,-3.062578251,
CAN,GGNLEND,TOT,PC_GDP,A,1997,0.038831643,
CAN,GGNLEND,TOT,PC_GDP,A,1998,0.143177975,
CAN,GGNLEND,TOT,PC_GDP,A,1999,1.661297259,
CAN,GGNLEND,TOT,PC_GDP,A,2000,2.648542245,
CAN,GGNLEND,TOT,PC_GDP,A,2001,0.531343571,
CAN,GGNLEND,TOT,PC_GDP,A,2002,-0.234729943,
CAN,GGNLEND,TOT,PC_GDP,A,2003,-0.127407893,
CAN,GGNLEND,TOT,PC_GDP,A,2004,0.770295182,
CAN,GGNLEND,TOT,PC_GDP,A,2005,1.558120235,
CAN,GGNLEND,TOT,PC_GDP,A,2006,1.832989659,
CAN,GGNLEND,TOT,PC_GDP,A,2007,1.824430644,
CAN,GGNLEND,TOT,PC_GDP,A,2008,0.184945094,
CAN,GGNLEND,TOT,PC_GDP,A,2009,-3.891180421,
CAN,GGNLEND,TOT,PC_GDP,A,2010,-4.748726032,
CAN,GGNLEND,TOT,PC_GDP,A,2011,-3.316475707,
CAN,GGNLEND,TOT,PC_GDP,A,2012,-2.530601138,
CAN,GGNLEND,TOT,PC_GDP,A,2013,-1.872802078,
CAN,GGNLEND,TOT,PC_GDP,A,2014,0.175009032,
CAN,GGNLEND,TOT,PC_GDP,A,2015,-0.129679971,
CAN,GGNLEND,TOT,PC_GDP,A,2016,-1.09687714,
CZE,GGNLEND,TOT,PC_GDP,A,1995,-12.43268763,
CZE,GGNLEND,TOT,PC_GDP,A,1996,-3.012249621,
CZE,GGNLEND,TOT,PC_GDP,A,1997,-3.184316328,
CZE,GGNLEND,TOT,PC_GDP,A,1998,-4.181627841,
CZE,GGNLEND,TOT,PC_GDP,A,1999,-3.132022278,
CZE,GGNLEND,TOT,PC_GDP,A,2000,-3.574525099,
CZE,GGNLEND,TOT,PC_GDP,A,2001,-5.48497085,
CZE,GGNLEND,TOT,PC_GDP,A,2002,-6.356287412,
CZE,GGNLEND,TOT,PC_GDP,A,2003,-6.884544521,
CZE,GGNLEND,TOT,PC_GDP,A,2004,-2.381268033,
CZE,GGNLEND,TOT,PC_GDP,A,2005,-2.991334273,
CZE,GGNLEND,TOT,PC_GDP,A,2006,-2.171516836,
CZE,GGNLEND,TOT,PC_GDP,A,2007,-0.653521755,
CZE,GGNLEND,TOT,PC_GDP,A,2008,-1.97968896,
CZE,GGNLEND,TOT,PC_GDP,A,2009,-5.450094379,
CZE,GGNLEND,TOT,PC_GDP,A,2010,-4.189741535,
CZE,GGNLEND,TOT,PC_GDP,A,2011,-2.72440939,
CZE,GGNLEND,TOT,PC_GDP,A,2012,-3.929937398,
CZE,GGNLEND,TOT,PC_GDP,A,2013,-1.247618425,
CZE,GGNLEND,TOT,PC_GDP,A,2014,-1.925523015,
CZE,GGNLEND,TOT,PC_GDP,A,2015,-0.630164653,
CZE,GGNLEND,TOT,PC_GDP,A,2016,0.73314981,
DNK,GGNLEND,TOT,PC_GDP,A,1995,-3.618293788,
DNK,GGNLEND,TOT,PC_GDP,A,1996,-2.482573914,
DNK,GGNLEND,TOT,PC_GDP,A,1997,-1.200213938,
DNK,GGNLEND,TOT,PC_GDP,A,1998,-0.388536815,
DNK,GGNLEND,TOT,PC_GDP,A,1999,0.868853608,
DNK,GGNLEND,TOT,PC_GDP,A,2000,1.887314306,
DNK,GGNLEND,TOT,PC_GDP,A,2001,1.14055439,
DNK,GGNLEND,TOT,PC_GDP,A,2002,-0.015387114,
DNK,GGNLEND,TOT,PC_GDP,A,2003,-0.133147637,
DNK,GGNLEND,TOT,PC_GDP,A,2004,2.073172594,
DNK,GGNLEND,TOT,PC_GDP,A,2005,4.955031072,
DNK,GGNLEND,TOT,PC_GDP,A,2006,4.987100686,
DNK,GGNLEND,TOT,PC_GDP,A,2007,5.020458983,
DNK,GGNLEND,TOT,PC_GDP,A,2008,3.173907975,
DNK,GGNLEND,TOT,PC_GDP,A,2009,-2.798141618,
DNK,GGNLEND,TOT,PC_GDP,A,2010,-2.710270878,
DNK,GGNLEND,TOT,PC_GDP,A,2011,-2.055766184,
DNK,GGNLEND,TOT,PC_GDP,A,2012,-3.490444865,
DNK,GGNLEND,TOT,PC_GDP,A,2013,-1.235647209,
DNK,GGNLEND,TOT,PC_GDP,A,2014,1.144427647,
DNK,GGNLEND,TOT,PC_GDP,A,2015,-1.471011905,
DNK,GGNLEND,TOT,PC_GDP,A,2016,-0.408768409,
FIN,GGNLEND,TOT,PC_GDP,A,1975,4.964857797,E
FIN,GGNLEND,TOT,PC_GDP,A,1976,7.646863851,E
FIN,GGNLEND,TOT,PC_GDP,A,1977,6.276497614,E
FIN,GGNLEND,TOT,PC_GDP,A,1978,3.868496469,E
FIN,GGNLEND,TOT,PC_GDP,A,1979,3.437295447,E
FIN,GGNLEND,TOT,PC_GDP,A,1980,3.746808384,
FIN,GGNLEND,TOT,PC_GDP,A,1981,5.134666877,
FIN,GGNLEND,TOT,PC_GDP,A,1982,3.081879947,
FIN,GGNLEND,TOT,PC_GDP,A,1983,1.537978657,
FIN,GGNLEND,TOT,PC_GDP,A,1984,3.243111892,
FIN,GGNLEND,TOT,PC_GDP,A,1985,3.362786309,
FIN,GGNLEND,TOT,PC_GDP,A,1986,3.825310807,
FIN,GGNLEND,TOT,PC_GDP,A,1987,1.645732166,
