LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,GGEXP,TOT,PC_GDP,A,1995,55.80607416,
AUT,GGEXP,TOT,PC_GDP,A,1996,55.62439493,
AUT,GGEXP,TOT,PC_GDP,A,1997,52.27210395,
AUT,GGEXP,TOT,PC_GDP,A,1998,52.22424263,
AUT,GGEXP,TOT,PC_GDP,A,1999,52.06151977,
AUT,GGEXP,TOT,PC_GDP,A,2000,51.03298833,
AUT,GGEXP,TOT,PC_GDP,A,2001,51.35570521,
AUT,GGEXP,TOT,PC_GDP,A,2002,51.05430466,
AUT,GGEXP,TOT,PC_GDP,A,2003,51.27099057,
AUT,GGEXP,TOT,PC_GDP,A,2004,53.70511428,
AUT,GGEXP,TOT,PC_GDP,A,2005,51.15552284,
AUT,GGEXP,TOT,PC_GDP,A,2006,50.37993357,
AUT,GGEXP,TOT,PC_GDP,A,2007,49.24411214,
AUT,GGEXP,TOT,PC_GDP,A,2008,49.87398468,
AUT,GGEXP,TOT,PC_GDP,A,2009,54.14480051,
AUT,GGEXP,TOT,PC_GDP,A,2010,52.83978554,
AUT,GGEXP,TOT,PC_GDP,A,2011,50.89691485,
AUT,GGEXP,TOT,PC_GDP,A,2012,51.21302781,
AUT,GGEXP,TOT,PC_GDP,A,2013,51.64766654,
AUT,GGEXP,TOT,PC_GDP,A,2014,52.33409261,
AUT,GGEXP,TOT,PC_GDP,A,2015,50.98280178,
AUT,GGEXP,TOT,PC_GDP,A,2016,50.70333758,
BEL,GGEXP,TOT,PC_GDP,A,1995,52.38625849,
BEL,GGEXP,TOT,PC_GDP,A,1996,52.66654441,
BEL,GGEXP,TOT,PC_GDP,A,1997,51.23665357,
BEL,GGEXP,TOT,PC_GDP,A,1998,50.56053659,
BEL,GGEXP,TOT,PC_GDP,A,1999,50.06850213,
BEL,GGEXP,TOT,PC_GDP,A,2000,49.0519398,
BEL,GGEXP,TOT,PC_GDP,A,2001,49.18800068,
BEL,GGEXP,TOT,PC_GDP,A,2002,49.50649864,
BEL,GGEXP,TOT,PC_GDP,A,2003,50.71443356,
BEL,GGEXP,TOT,PC_GDP,A,2004,48.93304829,
BEL,GGEXP,TOT,PC_GDP,A,2005,51.43183785,
BEL,GGEXP,TOT,PC_GDP,A,2006,48.44054453,
BEL,GGEXP,TOT,PC_GDP,A,2007,48.23747326,
BEL,GGEXP,TOT,PC_GDP,A,2008,50.27154549,
BEL,GGEXP,TOT,PC_GDP,A,2009,54.14074903,
BEL,GGEXP,TOT,PC_GDP,A,2010,53.28743729,
BEL,GGEXP,TOT,PC_GDP,A,2011,54.41413134,
BEL,GGEXP,TOT,PC_GDP,A,2012,55.82948237,
BEL,GGEXP,TOT,PC_GDP,A,2013,55.63942277,
BEL,GGEXP,TOT,PC_GDP,A,2014,55.17144897,
BEL,GGEXP,TOT,PC_GDP,A,2015,53.84969418,
