LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,PC_GDP,A,1981,0.901690171,
AUS,GDEXPRD,TOT,PC_GDP,A,1984,1.022568854,
AUS,GDEXPRD,TOT,PC_GDP,A,1986,1.177175603,
AUS,GDEXPRD,TOT,PC_GDP,A,1987,1.135466576,
AUS,GDEXPRD,TOT,PC_GDP,A,1988,1.160962976,
AUS,GDEXPRD,TOT,PC_GDP,A,1990,1.256968448,
AUS,GDEXPRD,TOT,PC_GDP,A,1992,1.458243827,
AUS,GDEXPRD,TOT,PC_GDP,A,1994,1.504915247,
AUS,GDEXPRD,TOT,PC_GDP,A,1996,1.577836596,
AUS,GDEXPRD,TOT,PC_GDP,A,1998,1.43610306,
AUS,GDEXPRD,TOT,PC_GDP,A,2000,1.475422142,
AUS,GDEXPRD,TOT,PC_GDP,A,2002,1.648180422,
AUS,GDEXPRD,TOT,PC_GDP,A,2004,1.730355585,
AUS,GDEXPRD,TOT,PC_GDP,A,2006,2.002611638,
AUS,GDEXPRD,TOT,PC_GDP,A,2008,2.247244457,
AUS,GDEXPRD,TOT,PC_GDP,A,2010,2.191866096,
AUS,GDEXPRD,TOT,PC_GDP,A,2011,2.122687517,
AUS,GDEXPRD,TOT,PC_GDP,A,2013,2.105205228,
AUT,GDEXPRD,TOT,PC_GDP,A,1981,1.092616576,
AUT,GDEXPRD,TOT,PC_GDP,A,1982,1.138309015,
AUT,GDEXPRD,TOT,PC_GDP,A,1983,1.147506824,
AUT,GDEXPRD,TOT,PC_GDP,A,1984,1.197739114,
AUT,GDEXPRD,TOT,PC_GDP,A,1985,1.199753029,
AUT,GDEXPRD,TOT,PC_GDP,A,1986,1.239216689,
AUT,GDEXPRD,TOT,PC_GDP,A,1987,1.24679188,
AUT,GDEXPRD,TOT,PC_GDP,A,1988,1.286965091,
AUT,GDEXPRD,TOT,PC_GDP,A,1989,1.307301217,
AUT,GDEXPRD,TOT,PC_GDP,A,1990,1.353753814,
AUT,GDEXPRD,TOT,PC_GDP,A,1991,1.43076107,
AUT,GDEXPRD,TOT,PC_GDP,A,1992,1.417857237,
AUT,GDEXPRD,TOT,PC_GDP,A,1993,1.434722184,
AUT,GDEXPRD,TOT,PC_GDP,A,1994,1.513358893,
AUT,GDEXPRD,TOT,PC_GDP,A,1995,1.533448403,
AUT,GDEXPRD,TOT,PC_GDP,A,1996,1.584311443,
AUT,GDEXPRD,TOT,PC_GDP,A,1997,1.658549895,
AUT,GDEXPRD,TOT,PC_GDP,A,1998,1.736131555,
AUT,GDEXPRD,TOT,PC_GDP,A,1999,1.849292539,
AUT,GDEXPRD,TOT,PC_GDP,A,2000,1.889654465,
AUT,GDEXPRD,TOT,PC_GDP,A,2001,1.995991016,
AUT,GDEXPRD,TOT,PC_GDP,A,2002,2.069932897,
AUT,GDEXPRD,TOT,PC_GDP,A,2003,2.1826826,
AUT,GDEXPRD,TOT,PC_GDP,A,2004,2.173679868,
AUT,GDEXPRD,TOT,PC_GDP,A,2005,2.383236977,
AUT,GDEXPRD,TOT,PC_GDP,A,2006,2.371147712,
AUT,GDEXPRD,TOT,PC_GDP,A,2007,2.432403103,
AUT,GDEXPRD,TOT,PC_GDP,A,2008,2.58556843,
AUT,GDEXPRD,TOT,PC_GDP,A,2009,2.613574151,
AUT,GDEXPRD,TOT,PC_GDP,A,2010,2.737843548,
AUT,GDEXPRD,TOT,PC_GDP,A,2011,2.681634155,
AUT,GDEXPRD,TOT,PC_GDP,A,2012,2.92883736,
AUT,GDEXPRD,TOT,PC_GDP,A,2013,2.967478406,
AUT,GDEXPRD,TOT,PC_GDP,A,2014,3.093775876,
AUT,GDEXPRD,TOT,PC_GDP,A,2015,3.122307633,
AUT,GDEXPRD,TOT,PC_GDP,A,2016,3.121874323,
BEL,GDEXPRD,TOT,PC_GDP,A,1983,1.488481611,
BEL,GDEXPRD,TOT,PC_GDP,A,1984,1.50032433,
BEL,GDEXPRD,TOT,PC_GDP,A,1985,1.550216318,
BEL,GDEXPRD,TOT,PC_GDP,A,1986,1.55333202,
BEL,GDEXPRD,TOT,PC_GDP,A,1987,1.56557423,
BEL,GDEXPRD,TOT,PC_GDP,A,1988,1.521171685,
BEL,GDEXPRD,TOT,PC_GDP,A,1989,1.574611119,
BEL,GDEXPRD,TOT,PC_GDP,A,1991,1.550652676,
BEL,GDEXPRD,TOT,PC_GDP,A,1993,1.628082142,
BEL,GDEXPRD,TOT,PC_GDP,A,1994,1.618561954,
BEL,GDEXPRD,TOT,PC_GDP,A,1995,1.63851317,
BEL,GDEXPRD,TOT,PC_GDP,A,1996,1.729628194,
BEL,GDEXPRD,TOT,PC_GDP,A,1997,1.794758094,
BEL,GDEXPRD,TOT,PC_GDP,A,1998,1.823621193,
BEL,GDEXPRD,TOT,PC_GDP,A,1999,1.890676921,
BEL,GDEXPRD,TOT,PC_GDP,A,2000,1.922356524,
BEL,GDEXPRD,TOT,PC_GDP,A,2001,2.021678096,
BEL,GDEXPRD,TOT,PC_GDP,A,2002,1.890730269,
BEL,GDEXPRD,TOT,PC_GDP,A,2003,1.831835193,
BEL,GDEXPRD,TOT,PC_GDP,A,2004,1.808978377,
BEL,GDEXPRD,TOT,PC_GDP,A,2005,1.782308749,
BEL,GDEXPRD,TOT,PC_GDP,A,2006,1.814264561,
BEL,GDEXPRD,TOT,PC_GDP,A,2007,1.84412285,
BEL,GDEXPRD,TOT,PC_GDP,A,2008,1.924132478,
BEL,GDEXPRD,TOT,PC_GDP,A,2009,1.98537191,
BEL,GDEXPRD,TOT,PC_GDP,A,2010,2.050802381,
BEL,GDEXPRD,TOT,PC_GDP,A,2011,2.155333864,
BEL,GDEXPRD,TOT,PC_GDP,A,2012,2.362193548,
BEL,GDEXPRD,TOT,PC_GDP,A,2013,2.436790321,
BEL,GDEXPRD,TOT,PC_GDP,A,2014,2.463735757,
BEL,GDEXPRD,TOT,PC_GDP,A,2015,2.455203816,
CAN,GDEXPRD,TOT,PC_GDP,A,1981,1.202600777,
CAN,GDEXPRD,TOT,PC_GDP,A,1982,1.343940761,
CAN,GDEXPRD,TOT,PC_GDP,A,1983,1.314062012,
CAN,GDEXPRD,TOT,PC_GDP,A,1984,1.347983565,
CAN,GDEXPRD,TOT,PC_GDP,A,1985,1.385534307,
CAN,GDEXPRD,TOT,PC_GDP,A,1986,1.422442559,
CAN,GDEXPRD,TOT,PC_GDP,A,1987,1.375177908,
CAN,GDEXPRD,TOT,PC_GDP,A,1988,1.357781298,
CAN,GDEXPRD,TOT,PC_GDP,A,1989,1.422814659,
CAN,GDEXPRD,TOT,PC_GDP,A,1990,1.48052589,
CAN,GDEXPRD,TOT,PC_GDP,A,1991,1.540215058,
