LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HEALTHEXP,TOT,PC_GDP,A,1971,4.544,
AUS,HEALTHEXP,TOT,PC_GDP,A,1972,4.544,
AUS,HEALTHEXP,TOT,PC_GDP,A,1973,4.507,
AUS,HEALTHEXP,TOT,PC_GDP,A,1974,5.109,
AUS,HEALTHEXP,TOT,PC_GDP,A,1975,5.757,
AUS,HEALTHEXP,TOT,PC_GDP,A,1976,5.773,
AUS,HEALTHEXP,TOT,PC_GDP,A,1977,6.073,
AUS,HEALTHEXP,TOT,PC_GDP,A,1978,5.935,
AUS,HEALTHEXP,TOT,PC_GDP,A,1979,5.824,
AUS,HEALTHEXP,TOT,PC_GDP,A,1980,5.824,
AUS,HEALTHEXP,TOT,PC_GDP,A,1981,5.834,
AUS,HEALTHEXP,TOT,PC_GDP,A,1982,6.101,
AUS,HEALTHEXP,TOT,PC_GDP,A,1983,6.044,
AUS,HEALTHEXP,TOT,PC_GDP,A,1984,6.016,
AUS,HEALTHEXP,TOT,PC_GDP,A,1985,6.067,
AUS,HEALTHEXP,TOT,PC_GDP,A,1986,6.264,
AUS,HEALTHEXP,TOT,PC_GDP,A,1987,6.099,
AUS,HEALTHEXP,TOT,PC_GDP,A,1988,6.054,
AUS,HEALTHEXP,TOT,PC_GDP,A,1989,6.107,
AUS,HEALTHEXP,TOT,PC_GDP,A,1990,6.465,
AUS,HEALTHEXP,TOT,PC_GDP,A,1991,6.759,
AUS,HEALTHEXP,TOT,PC_GDP,A,1992,6.822,
AUS,HEALTHEXP,TOT,PC_GDP,A,1993,6.835,
AUS,HEALTHEXP,TOT,PC_GDP,A,1994,6.867,
AUS,HEALTHEXP,TOT,PC_GDP,A,1995,6.908,
AUS,HEALTHEXP,TOT,PC_GDP,A,1996,7.049,
AUS,HEALTHEXP,TOT,PC_GDP,A,1997,7.073,
AUS,HEALTHEXP,TOT,PC_GDP,A,1998,7.234,D
AUS,HEALTHEXP,TOT,PC_GDP,A,1999,7.327,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2000,7.603,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2001,7.696,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2002,7.887,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2003,7.894,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2004,8.105,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2005,7.974,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2006,7.983,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2007,8.057,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2008,8.262,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2009,8.588,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2010,8.468,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2011,8.586,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2012,8.726,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2013,8.806,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2014,9.079,D
AUS,HEALTHEXP,TOT,PC_GDP,A,2015,9.445,
AUS,HEALTHEXP,TOT,PC_GDP,A,2016,9.59,
AUT,HEALTHEXP,TOT,PC_GDP,A,1970,4.85,
AUT,HEALTHEXP,TOT,PC_GDP,A,1971,4.781,
AUT,HEALTHEXP,TOT,PC_GDP,A,1972,4.777,
AUT,HEALTHEXP,TOT,PC_GDP,A,1973,4.869,
AUT,HEALTHEXP,TOT,PC_GDP,A,1974,5.098,
AUT,HEALTHEXP,TOT,PC_GDP,A,1975,6.522,
AUT,HEALTHEXP,TOT,PC_GDP,A,1976,6.756,
AUT,HEALTHEXP,TOT,PC_GDP,A,1977,6.697,
AUT,HEALTHEXP,TOT,PC_GDP,A,1978,6.965,
AUT,HEALTHEXP,TOT,PC_GDP,A,1979,6.94,
AUT,HEALTHEXP,TOT,PC_GDP,A,1980,7.039,
AUT,HEALTHEXP,TOT,PC_GDP,A,1981,6.039,
AUT,HEALTHEXP,TOT,PC_GDP,A,1982,6.014,
AUT,HEALTHEXP,TOT,PC_GDP,A,1983,5.846,
AUT,HEALTHEXP,TOT,PC_GDP,A,1984,5.893,
AUT,HEALTHEXP,TOT,PC_GDP,A,1985,6.022,
AUT,HEALTHEXP,TOT,PC_GDP,A,1986,6.13,
AUT,HEALTHEXP,TOT,PC_GDP,A,1987,6.42,
AUT,HEALTHEXP,TOT,PC_GDP,A,1988,6.412,
AUT,HEALTHEXP,TOT,PC_GDP,A,1989,6.556,
AUT,HEALTHEXP,TOT,PC_GDP,A,1990,7.737,B
AUT,HEALTHEXP,TOT,PC_GDP,A,1991,7.801,
AUT,HEALTHEXP,TOT,PC_GDP,A,1992,8.097,
AUT,HEALTHEXP,TOT,PC_GDP,A,1993,8.621,
AUT,HEALTHEXP,TOT,PC_GDP,A,1994,9.012,
AUT,HEALTHEXP,TOT,PC_GDP,A,1995,8.945,
AUT,HEALTHEXP,TOT,PC_GDP,A,1996,8.904,
AUT,HEALTHEXP,TOT,PC_GDP,A,1997,9.004,
AUT,HEALTHEXP,TOT,PC_GDP,A,1998,9.175,
AUT,HEALTHEXP,TOT,PC_GDP,A,1999,9.322,
AUT,HEALTHEXP,TOT,PC_GDP,A,2000,9.221,
AUT,HEALTHEXP,TOT,PC_GDP,A,2001,9.288,
AUT,HEALTHEXP,TOT,PC_GDP,A,2002,9.413,
AUT,HEALTHEXP,TOT,PC_GDP,A,2003,9.583,
AUT,HEALTHEXP,TOT,PC_GDP,A,2004,9.647,
AUT,HEALTHEXP,TOT,PC_GDP,A,2005,9.582,
AUT,HEALTHEXP,TOT,PC_GDP,A,2006,9.482,
AUT,HEALTHEXP,TOT,PC_GDP,A,2007,9.478,
AUT,HEALTHEXP,TOT,PC_GDP,A,2008,9.635,
AUT,HEALTHEXP,TOT,PC_GDP,A,2009,10.142,
AUT,HEALTHEXP,TOT,PC_GDP,A,2010,10.112,
AUT,HEALTHEXP,TOT,PC_GDP,A,2011,9.909,
AUT,HEALTHEXP,TOT,PC_GDP,A,2012,10.13,
AUT,HEALTHEXP,TOT,PC_GDP,A,2013,10.186,
AUT,HEALTHEXP,TOT,PC_GDP,A,2014,10.286,
AUT,HEALTHEXP,TOT,PC_GDP,A,2015,10.32,
AUT,HEALTHEXP,TOT,PC_GDP,A,2016,10.367,E
BEL,HEALTHEXP,TOT,PC_GDP,A,1970,3.836,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1971,3.922,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1972,4.076,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1973,4.355,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1974,4.419,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1975,5.518,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1976,5.724,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1977,6.193,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1978,6.382,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1979,6.364,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1980,6.148,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1981,6.561,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1982,6.788,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1983,6.954,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1984,6.797,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1985,6.846,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1986,7.017,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1987,7.123,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1988,7.122,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1989,7.066,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1990,7.109,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1991,7.419,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1992,7.598,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1993,7.722,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1994,7.52,D
BEL,HEALTHEXP,TOT,PC_GDP,A,1995,7.479,B
BEL,HEALTHEXP,TOT,PC_GDP,A,1996,7.754,
BEL,HEALTHEXP,TOT,PC_GDP,A,1997,7.612,
BEL,HEALTHEXP,TOT,PC_GDP,A,1998,7.735,
BEL,HEALTHEXP,TOT,PC_GDP,A,1999,7.9,
BEL,HEALTHEXP,TOT,PC_GDP,A,2000,7.942,
BEL,HEALTHEXP,TOT,PC_GDP,A,2001,8.105,
BEL,HEALTHEXP,TOT,PC_GDP,A,2002,8.264,
BEL,HEALTHEXP,TOT,PC_GDP,A,2003,9.09,B
BEL,HEALTHEXP,TOT,PC_GDP,A,2004,9.108,
BEL,HEALTHEXP,TOT,PC_GDP,A,2005,9.024,
BEL,HEALTHEXP,TOT,PC_GDP,A,2006,8.921,
BEL,HEALTHEXP,TOT,PC_GDP,A,2007,8.95,
BEL,HEALTHEXP,TOT,PC_GDP,A,2008,9.339,
BEL,HEALTHEXP,TOT,PC_GDP,A,2009,10.071,
BEL,HEALTHEXP,TOT,PC_GDP,A,2010,9.918,
BEL,HEALTHEXP,TOT,PC_GDP,A,2011,10.081,
BEL,HEALTHEXP,TOT,PC_GDP,A,2012,10.184,
BEL,HEALTHEXP,TOT,PC_GDP,A,2013,10.367,
BEL,HEALTHEXP,TOT,PC_GDP,A,2014,10.395,
BEL,HEALTHEXP,TOT,PC_GDP,A,2015,10.477,
BEL,HEALTHEXP,TOT,PC_GDP,A,2016,10.387,E
CAN,HEALTHEXP,TOT,PC_GDP,A,1970,6.353,
CAN,HEALTHEXP,TOT,PC_GDP,A,1971,6.611,
CAN,HEALTHEXP,TOT,PC_GDP,A,1972,6.528,
CAN,HEALTHEXP,TOT,PC_GDP,A,1973,6.207,
CAN,HEALTHEXP,TOT,PC_GDP,A,1974,6.091,
CAN,HEALTHEXP,TOT,PC_GDP,A,1975,6.538,B
CAN,HEALTHEXP,TOT,PC_GDP,A,1976,6.574,
CAN,HEALTHEXP,TOT,PC_GDP,A,1977,6.553,
CAN,HEALTHEXP,TOT,PC_GDP,A,1978,6.526,
CAN,HEALTHEXP,TOT,PC_GDP,A,1979,6.414,
CAN,HEALTHEXP,TOT,PC_GDP,A,1980,6.588,
CAN,HEALTHEXP,TOT,PC_GDP,A,1981,6.789,
CAN,HEALTHEXP,TOT,PC_GDP,A,1982,7.522,
CAN,HEALTHEXP,TOT,PC_GDP,A,1983,7.694,
CAN,HEALTHEXP,TOT,PC_GDP,A,1984,7.58,
CAN,HEALTHEXP,TOT,PC_GDP,A,1985,7.588,
CAN,HEALTHEXP,TOT,PC_GDP,A,1986,7.83,
CAN,HEALTHEXP,TOT,PC_GDP,A,1987,7.771,
CAN,HEALTHEXP,TOT,PC_GDP,A,1988,7.769,
CAN,HEALTHEXP,TOT,PC_GDP,A,1989,7.976,
CAN,HEALTHEXP,TOT,PC_GDP,A,1990,8.394,
CAN,HEALTHEXP,TOT,PC_GDP,A,1991,9.081,
CAN,HEALTHEXP,TOT,PC_GDP,A,1992,9.332,
CAN,HEALTHEXP,TOT,PC_GDP,A,1993,9.216,
CAN,HEALTHEXP,TOT,PC_GDP,A,1994,8.862,
CAN,HEALTHEXP,TOT,PC_GDP,A,1995,8.559,
CAN,HEALTHEXP,TOT,PC_GDP,A,1996,8.363,
CAN,HEALTHEXP,TOT,PC_GDP,A,1997,8.345,
CAN,HEALTHEXP,TOT,PC_GDP,A,1998,8.577,
CAN,HEALTHEXP,TOT,PC_GDP,A,1999,8.358,
CAN,HEALTHEXP,TOT,PC_GDP,A,2000,8.276,
CAN,HEALTHEXP,TOT,PC_GDP,A,2001,8.655,
CAN,HEALTHEXP,TOT,PC_GDP,A,2002,8.888,
CAN,HEALTHEXP,TOT,PC_GDP,A,2003,9.043,
CAN,HEALTHEXP,TOT,PC_GDP,A,2004,9.097,
CAN,HEALTHEXP,TOT,PC_GDP,A,2005,9.064,
CAN,HEALTHEXP,TOT,PC_GDP,A,2006,9.207,
CAN,HEALTHEXP,TOT,PC_GDP,A,2007,9.298,
CAN,HEALTHEXP,TOT,PC_GDP,A,2008,9.465,
CAN,HEALTHEXP,TOT,PC_GDP,A,2009,10.574,
CAN,HEALTHEXP,TOT,PC_GDP,A,2010,10.562,
CAN,HEALTHEXP,TOT,PC_GDP,A,2011,10.22,
CAN,HEALTHEXP,TOT,PC_GDP,A,2012,10.223,
CAN,HEALTHEXP,TOT,PC_GDP,A,2013,10.115,
CAN,HEALTHEXP,TOT,PC_GDP,A,2014,9.987,
CAN,HEALTHEXP,TOT,PC_GDP,A,2015,10.436,P
CAN,HEALTHEXP,TOT,PC_GDP,A,2016,10.578,P
CZE,HEALTHEXP,TOT,PC_GDP,A,1990,3.751,
CZE,HEALTHEXP,TOT,PC_GDP,A,1991,3.888,
CZE,HEALTHEXP,TOT,PC_GDP,A,1992,4.011,
CZE,HEALTHEXP,TOT,PC_GDP,A,1993,5.373,
CZE,HEALTHEXP,TOT,PC_GDP,A,1994,5.535,
CZE,HEALTHEXP,TOT,PC_GDP,A,1995,5.759,B
CZE,HEALTHEXP,TOT,PC_GDP,A,1996,5.638,
CZE,HEALTHEXP,TOT,PC_GDP,A,1997,5.647,
CZE,HEALTHEXP,TOT,PC_GDP,A,1998,5.63,
CZE,HEALTHEXP,TOT,PC_GDP,A,1999,5.81,
CZE,HEALTHEXP,TOT,PC_GDP,A,2000,5.734,B
CZE,HEALTHEXP,TOT,PC_GDP,A,2001,5.901,
CZE,HEALTHEXP,TOT,PC_GDP,A,2002,6.215,
CZE,HEALTHEXP,TOT,PC_GDP,A,2003,6.576,B
CZE,HEALTHEXP,TOT,PC_GDP,A,2004,6.395,
CZE,HEALTHEXP,TOT,PC_GDP,A,2005,6.395,
CZE,HEALTHEXP,TOT,PC_GDP,A,2006,6.206,
CZE,HEALTHEXP,TOT,PC_GDP,A,2007,6.029,
CZE,HEALTHEXP,TOT,PC_GDP,A,2008,6.374,
CZE,HEALTHEXP,TOT,PC_GDP,A,2009,7.309,
CZE,HEALTHEXP,TOT,PC_GDP,A,2010,6.944,
CZE,HEALTHEXP,TOT,PC_GDP,A,2011,6.977,
CZE,HEALTHEXP,TOT,PC_GDP,A,2012,7.028,
CZE,HEALTHEXP,TOT,PC_GDP,A,2013,7.807,B
CZE,HEALTHEXP,TOT,PC_GDP,A,2014,7.653,
CZE,HEALTHEXP,TOT,PC_GDP,A,2015,7.308,
CZE,HEALTHEXP,TOT,PC_GDP,A,2016,7.26,E
DNK,HEALTHEXP,TOT,PC_GDP,A,1971,7.677,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1972,7.768,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1973,7.585,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1974,8.291,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1975,8.536,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1976,8.441,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1977,8.259,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1978,8.377,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1979,8.474,D
DNK,HEALTHEXP,TOT,PC_GDP,A,1980,8.416,
DNK,HEALTHEXP,TOT,PC_GDP,A,1981,8.575,
DNK,HEALTHEXP,TOT,PC_GDP,A,1982,8.624,
DNK,HEALTHEXP,TOT,PC_GDP,A,1983,8.418,
DNK,HEALTHEXP,TOT,PC_GDP,A,1984,7.97,
DNK,HEALTHEXP,TOT,PC_GDP,A,1985,7.947,
DNK,HEALTHEXP,TOT,PC_GDP,A,1986,7.734,
DNK,HEALTHEXP,TOT,PC_GDP,A,1987,8.054,
DNK,HEALTHEXP,TOT,PC_GDP,A,1988,8.191,
DNK,HEALTHEXP,TOT,PC_GDP,A,1989,8.061,
DNK,HEALTHEXP,TOT,PC_GDP,A,1990,8.038,
DNK,HEALTHEXP,TOT,PC_GDP,A,1991,7.94,
DNK,HEALTHEXP,TOT,PC_GDP,A,1992,7.956,
DNK,HEALTHEXP,TOT,PC_GDP,A,1993,8.289,
DNK,HEALTHEXP,TOT,PC_GDP,A,1994,8.077,
DNK,HEALTHEXP,TOT,PC_GDP,A,1995,7.771,
DNK,HEALTHEXP,TOT,PC_GDP,A,1996,7.839,
DNK,HEALTHEXP,TOT,PC_GDP,A,1997,7.75,
DNK,HEALTHEXP,TOT,PC_GDP,A,1998,7.552,
DNK,HEALTHEXP,TOT,PC_GDP,A,1999,8.342,
DNK,HEALTHEXP,TOT,PC_GDP,A,2000,8.104,
DNK,HEALTHEXP,TOT,PC_GDP,A,2001,8.448,
DNK,HEALTHEXP,TOT,PC_GDP,A,2002,8.703,
DNK,HEALTHEXP,TOT,PC_GDP,A,2003,8.904,B
DNK,HEALTHEXP,TOT,PC_GDP,A,2004,9.007,
DNK,HEALTHEXP,TOT,PC_GDP,A,2005,9.091,
DNK,HEALTHEXP,TOT,PC_GDP,A,2006,9.169,
DNK,HEALTHEXP,TOT,PC_GDP,A,2007,9.325,
DNK,HEALTHEXP,TOT,PC_GDP,A,2008,9.511,
DNK,HEALTHEXP,TOT,PC_GDP,A,2009,10.674,
DNK,HEALTHEXP,TOT,PC_GDP,A,2010,10.376,
DNK,HEALTHEXP,TOT,PC_GDP,A,2011,10.197,B
DNK,HEALTHEXP,TOT,PC_GDP,A,2012,10.269,
DNK,HEALTHEXP,TOT,PC_GDP,A,2013,10.212,
DNK,HEALTHEXP,TOT,PC_GDP,A,2014,10.262,
DNK,HEALTHEXP,TOT,PC_GDP,A,2015,10.326,
DNK,HEALTHEXP,TOT,PC_GDP,A,2016,10.376,E
FIN,HEALTHEXP,TOT,PC_GDP,A,1970,4.986,
FIN,HEALTHEXP,TOT,PC_GDP,A,1971,5.286,
FIN,HEALTHEXP,TOT,PC_GDP,A,1972,5.381,
FIN,HEALTHEXP,TOT,PC_GDP,A,1973,5.231,
FIN,HEALTHEXP,TOT,PC_GDP,A,1974,5.168,
FIN,HEALTHEXP,TOT,PC_GDP,A,1975,5.65,
FIN,HEALTHEXP,TOT,PC_GDP,A,1976,5.988,
FIN,HEALTHEXP,TOT,PC_GDP,A,1977,6.192,
FIN,HEALTHEXP,TOT,PC_GDP,A,1978,6.131,
FIN,HEALTHEXP,TOT,PC_GDP,A,1979,5.985,
FIN,HEALTHEXP,TOT,PC_GDP,A,1980,5.912,
FIN,HEALTHEXP,TOT,PC_GDP,A,1981,6.036,
FIN,HEALTHEXP,TOT,PC_GDP,A,1982,6.129,
FIN,HEALTHEXP,TOT,PC_GDP,A,1983,6.217,
FIN,HEALTHEXP,TOT,PC_GDP,A,1984,6.261,
FIN,HEALTHEXP,TOT,PC_GDP,A,1985,6.654,
FIN,HEALTHEXP,TOT,PC_GDP,A,1986,6.753,
FIN,HEALTHEXP,TOT,PC_GDP,A,1987,6.893,
FIN,HEALTHEXP,TOT,PC_GDP,A,1988,6.7,
FIN,HEALTHEXP,TOT,PC_GDP,A,1989,6.74,
FIN,HEALTHEXP,TOT,PC_GDP,A,1990,7.248,
FIN,HEALTHEXP,TOT,PC_GDP,A,1991,8.314,
FIN,HEALTHEXP,TOT,PC_GDP,A,1992,8.514,
FIN,HEALTHEXP,TOT,PC_GDP,A,1993,7.829,B
FIN,HEALTHEXP,TOT,PC_GDP,A,1994,7.283,
FIN,HEALTHEXP,TOT,PC_GDP,A,1995,7.354,
FIN,HEALTHEXP,TOT,PC_GDP,A,1996,7.476,
