LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
RUS,HHEXP,TOT,PC_GDP,A,1989,48.03617023,E
RUS,HHEXP,TOT,PC_GDP,A,1990,49.35539328,E
RUS,HHEXP,TOT,PC_GDP,A,1991,45.72605188,E
RUS,HHEXP,TOT,PC_GDP,A,1992,35.28979233,E
RUS,HHEXP,TOT,PC_GDP,A,1993,45.97063305,E
RUS,HHEXP,TOT,PC_GDP,A,1994,47.84568168,E
RUS,HHEXP,TOT,PC_GDP,A,1995,53.3376493,E
RUS,HHEXP,TOT,PC_GDP,A,1996,53.26862865,E
RUS,HHEXP,TOT,PC_GDP,A,1997,56.06484388,E
RUS,HHEXP,TOT,PC_GDP,A,1998,58.84552242,E
RUS,HHEXP,TOT,PC_GDP,A,1999,54.82650506,E
RUS,HHEXP,TOT,PC_GDP,A,2000,47.29614098,E
RUS,HHEXP,TOT,PC_GDP,A,2001,50.57083004,E
RUS,HHEXP,TOT,PC_GDP,A,2002,52.30164735,E
RUS,HHEXP,TOT,PC_GDP,A,2003,51.73708315,E
RUS,HHEXP,TOT,PC_GDP,A,2004,51.50161715,E
RUS,HHEXP,TOT,PC_GDP,A,2005,50.99542631,E
RUS,HHEXP,TOT,PC_GDP,A,2006,49.80612495,E
RUS,HHEXP,TOT,PC_GDP,A,2007,49.80786088,E
RUS,HHEXP,TOT,PC_GDP,A,2008,49.93023365,E
RUS,HHEXP,TOT,PC_GDP,A,2009,55.78962911,E
RUS,HHEXP,TOT,PC_GDP,A,2010,52.57463001,E
RUS,HHEXP,TOT,PC_GDP,A,2011,50.03902573,
RUS,HHEXP,TOT,PC_GDP,A,2012,50.96512525,
RUS,HHEXP,TOT,PC_GDP,A,2013,52.94718331,
RUS,HHEXP,TOT,PC_GDP,A,2014,53.41392981,
RUS,HHEXP,TOT,PC_GDP,A,2015,52.32449229,
RUS,HHEXP,TOT,PC_GDP,A,2016,51.4544457,
FRA,HHEXP,TOT,PC_GDP,A,1970,54.57875748,
FRA,HHEXP,TOT,PC_GDP,A,1971,54.60457579,
FRA,HHEXP,TOT,PC_GDP,A,1972,54.45465772,
FRA,HHEXP,TOT,PC_GDP,A,1973,53.79230714,
FRA,HHEXP,TOT,PC_GDP,A,1974,54.20242668,
FRA,HHEXP,TOT,PC_GDP,A,1975,54.79420216,
FRA,HHEXP,TOT,PC_GDP,A,1976,54.8182041,
FRA,HHEXP,TOT,PC_GDP,A,1977,54.64342705,
FRA,HHEXP,TOT,PC_GDP,A,1978,54.32171152,
FRA,HHEXP,TOT,PC_GDP,A,1979,54.52169341,
FRA,HHEXP,TOT,PC_GDP,A,1980,54.98189585,
FRA,HHEXP,TOT,PC_GDP,A,1981,56.44386161,
FRA,HHEXP,TOT,PC_GDP,A,1982,56.69680518,
FRA,HHEXP,TOT,PC_GDP,A,1983,56.4155903,
FRA,HHEXP,TOT,PC_GDP,A,1984,56.37217325,
FRA,HHEXP,TOT,PC_GDP,A,1985,56.89452722,
FRA,HHEXP,TOT,PC_GDP,A,1986,56.35455717,
FRA,HHEXP,TOT,PC_GDP,A,1987,57.0072817,
FRA,HHEXP,TOT,PC_GDP,A,1988,55.95678707,
