LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LFPR,15_64,PC_AGE,A,1966,66.3787357,
AUS,LFPR,15_64,PC_AGE,A,1967,66.53792278,
AUS,LFPR,15_64,PC_AGE,A,1968,66.68394333,
AUS,LFPR,15_64,PC_AGE,A,1969,66.64288124,
AUS,LFPR,15_64,PC_AGE,A,1970,67.69820293,
AUS,LFPR,15_64,PC_AGE,A,1971,67.56103874,
AUS,LFPR,15_64,PC_AGE,A,1972,67.96210363,
AUS,LFPR,15_64,PC_AGE,A,1973,68.33896697,
AUS,LFPR,15_64,PC_AGE,A,1974,68.26395986,
AUS,LFPR,15_64,PC_AGE,A,1975,68.66449511,
AUS,LFPR,15_64,PC_AGE,A,1976,68.60596094,
AUS,LFPR,15_64,PC_AGE,A,1977,69.31711155,
AUS,LFPR,15_64,PC_AGE,A,1978,68.72187744,
AUS,LFPR,15_64,PC_AGE,A,1979,68.73381142,
AUS,LFPR,15_64,PC_AGE,A,1980,69.4620257,
AUS,LFPR,15_64,PC_AGE,A,1981,69.42206134,
AUS,LFPR,15_64,PC_AGE,A,1982,69.16571013,
AUS,LFPR,15_64,PC_AGE,A,1983,68.8684295,
AUS,LFPR,15_64,PC_AGE,A,1984,69.09613174,
AUS,LFPR,15_64,PC_AGE,A,1985,69.51957605,
AUS,LFPR,15_64,PC_AGE,A,1986,70.9325667,
AUS,LFPR,15_64,PC_AGE,A,1987,71.13056909,
AUS,LFPR,15_64,PC_AGE,A,1988,71.71988512,
AUS,LFPR,15_64,PC_AGE,A,1989,72.73292007,
AUS,LFPR,15_64,PC_AGE,A,1990,73.5096041,
AUS,LFPR,15_64,PC_AGE,A,1991,72.98074333,
AUS,LFPR,15_64,PC_AGE,A,1992,72.82339979,
AUS,LFPR,15_64,PC_AGE,A,1993,72.58640278,
AUS,LFPR,15_64,PC_AGE,A,1994,73.19227753,
AUS,LFPR,15_64,PC_AGE,A,1995,73.964612,
AUS,LFPR,15_64,PC_AGE,A,1996,74.03052065,
AUS,LFPR,15_64,PC_AGE,A,1997,73.59248429,
AUS,LFPR,15_64,PC_AGE,A,1998,73.516061,
AUS,LFPR,15_64,PC_AGE,A,1999,73.33768196,
AUS,LFPR,15_64,PC_AGE,A,2000,73.7935979,
AUS,LFPR,15_64,PC_AGE,A,2001,74.05630031,
AUS,LFPR,15_64,PC_AGE,A,2002,74.14859534,
AUS,LFPR,15_64,PC_AGE,A,2003,74.48884898,
AUS,LFPR,15_64,PC_AGE,A,2004,74.3690701,
AUS,LFPR,15_64,PC_AGE,A,2005,75.39741843,
AUS,LFPR,15_64,PC_AGE,A,2006,75.80275622,
AUS,LFPR,15_64,PC_AGE,A,2007,76.19271853,
AUS,LFPR,15_64,PC_AGE,A,2008,76.50348993,
AUS,LFPR,15_64,PC_AGE,A,2009,76.38543709,
