LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1971,2.49958,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1972,2.20094,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1973,2.05951,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1974,-1.591392,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1975,3.701328,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1976,1.669292,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1977,-0.113097,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1978,4.2192,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1979,0.476435,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1980,1.076888,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1981,2.958263,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1982,1.231609,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1983,2.523046,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1984,2.175982,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1985,-0.174677,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1986,0.008093,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1987,2.072573,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1988,-0.307466,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1989,0.322248,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1990,-1.794229,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1991,2.312953,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1992,3.068931,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1993,0.214727,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1994,0.16911,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1995,3.021697,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1996,3.518972,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1997,3.350637,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1998,3.226134,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,1999,0.892951,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2000,1.026387,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2001,3.490157,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2002,1.391517,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2003,2.100162,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2004,-0.30012,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2005,0.449781,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2006,0.514061,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2007,1.208943,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2008,3.501002,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2009,-0.980895,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2010,1.636933,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2011,1.168921,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2012,2.482442,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2013,1.68873,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2014,0.654513,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2015,2.738838,
AUS,GDPCAPCONTR,LPRDTY,AGRWTH,A,2016,0.687415,E
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,1996,0.148767,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,1997,0.992555,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,1998,3.759728,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,1999,1.818211,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2000,2.371791,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2001,1.359522,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2002,1.900054,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2003,0.603614,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2004,1.92431,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2005,2.306206,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2006,2.556201,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2007,2.404775,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2008,0.090094,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2009,-0.737135,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2010,1.604014,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2011,0.879608,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2012,1.152782,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2013,0.742608,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2014,0.342402,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2015,1.786313,
AUT,GDPCAPCONTR,LPRDTY,AGRWTH,A,2016,-0.384459,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1971,3.606727,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1972,6.967108,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1973,6.748687,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1974,4.270236,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1975,0.625578,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1976,6.10024,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1977,2.467552,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1978,3.76117,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1979,2.353219,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1980,5.844682,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1981,3.040216,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1982,2.770331,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1983,1.281704,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1984,1.046983,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1985,0.818973,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1986,2.381739,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1987,2.467314,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1988,3.481818,
BEL,GDPCAPCONTR,LPRDTY,AGRWTH,A,1989,2.447769,
