LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,SAVING,TOT,PC_GDP,A,1970,17.15018137,E
BEL,SAVING,TOT,PC_GDP,A,1971,15.93646546,E
BEL,SAVING,TOT,PC_GDP,A,1972,15.69360443,E
BEL,SAVING,TOT,PC_GDP,A,1973,15.47044639,E
BEL,SAVING,TOT,PC_GDP,A,1974,15.85010604,E
BEL,SAVING,TOT,PC_GDP,A,1975,12.34517253,E
BEL,SAVING,TOT,PC_GDP,A,1976,13.33340008,E
BEL,SAVING,TOT,PC_GDP,A,1977,11.19216119,E
BEL,SAVING,TOT,PC_GDP,A,1978,10.92939647,E
BEL,SAVING,TOT,PC_GDP,A,1979,8.86661318,E
BEL,SAVING,TOT,PC_GDP,A,1980,5.846140629,E
BEL,SAVING,TOT,PC_GDP,A,1981,2.409173158,E
BEL,SAVING,TOT,PC_GDP,A,1982,1.642782458,E
BEL,SAVING,TOT,PC_GDP,A,1983,1.383414454,E
BEL,SAVING,TOT,PC_GDP,A,1984,3.134554182,E
BEL,SAVING,TOT,PC_GDP,A,1985,3.335575253,E
BEL,SAVING,TOT,PC_GDP,A,1986,4.649246989,E
BEL,SAVING,TOT,PC_GDP,A,1987,5.637012938,E
BEL,SAVING,TOT,PC_GDP,A,1988,8.559058108,E
BEL,SAVING,TOT,PC_GDP,A,1989,9.710739963,E
BEL,SAVING,TOT,PC_GDP,A,1990,10.01587764,E
BEL,SAVING,TOT,PC_GDP,A,1991,8.952768122,E
BEL,SAVING,TOT,PC_GDP,A,1992,9.231385674,E
BEL,SAVING,TOT,PC_GDP,A,1993,9.977884953,E
BEL,SAVING,TOT,PC_GDP,A,1994,11.18275689,E
BEL,SAVING,TOT,PC_GDP,A,1995,10.69149846,
BEL,SAVING,TOT,PC_GDP,A,1996,9.381020124,
BEL,SAVING,TOT,PC_GDP,A,1997,10.75330344,
BEL,SAVING,TOT,PC_GDP,A,1998,10.50498615,
BEL,SAVING,TOT,PC_GDP,A,1999,10.91550449,
BEL,SAVING,TOT,PC_GDP,A,2000,11.01587007,
BEL,SAVING,TOT,PC_GDP,A,2001,9.690641127,
BEL,SAVING,TOT,PC_GDP,A,2002,9.612088193,
BEL,SAVING,TOT,PC_GDP,A,2003,8.942794013,
BEL,SAVING,TOT,PC_GDP,A,2004,9.684383692,
BEL,SAVING,TOT,PC_GDP,A,2005,9.408027718,
BEL,SAVING,TOT,PC_GDP,A,2006,9.59468515,
BEL,SAVING,TOT,PC_GDP,A,2007,10.44070058,
BEL,SAVING,TOT,PC_GDP,A,2008,8.384032464,
BEL,SAVING,TOT,PC_GDP,A,2009,3.131792405,
BEL,SAVING,TOT,PC_GDP,A,2010,7.142800407,
BEL,SAVING,TOT,PC_GDP,A,2011,4.791321062,
