LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TAXREV,TOT,PC_GDP,A,1965,20.62,
AUS,TAXREV,TOT,PC_GDP,A,1966,19.84,
AUS,TAXREV,TOT,PC_GDP,A,1967,20.419,
AUS,TAXREV,TOT,PC_GDP,A,1968,20.349,
AUS,TAXREV,TOT,PC_GDP,A,1969,20.691,
AUS,TAXREV,TOT,PC_GDP,A,1970,21.083,
AUS,TAXREV,TOT,PC_GDP,A,1971,21.835,
AUS,TAXREV,TOT,PC_GDP,A,1972,21.394,
AUS,TAXREV,TOT,PC_GDP,A,1973,22.479,
AUS,TAXREV,TOT,PC_GDP,A,1974,24.623,
AUS,TAXREV,TOT,PC_GDP,A,1975,25.361,
AUS,TAXREV,TOT,PC_GDP,A,1976,25.54,
AUS,TAXREV,TOT,PC_GDP,A,1977,25.407,
AUS,TAXREV,TOT,PC_GDP,A,1978,24.514,
AUS,TAXREV,TOT,PC_GDP,A,1979,25.131,
AUS,TAXREV,TOT,PC_GDP,A,1980,26.187,
AUS,TAXREV,TOT,PC_GDP,A,1981,26.358,
AUS,TAXREV,TOT,PC_GDP,A,1982,26.835,
AUS,TAXREV,TOT,PC_GDP,A,1983,26.074,
AUS,TAXREV,TOT,PC_GDP,A,1984,27.67,
AUS,TAXREV,TOT,PC_GDP,A,1985,27.721,
AUS,TAXREV,TOT,PC_GDP,A,1986,28.489,
AUS,TAXREV,TOT,PC_GDP,A,1987,28.585,
AUS,TAXREV,TOT,PC_GDP,A,1988,28.234,
AUS,TAXREV,TOT,PC_GDP,A,1989,27.956,
AUS,TAXREV,TOT,PC_GDP,A,1990,28.042,
AUS,TAXREV,TOT,PC_GDP,A,1991,26.601,
AUS,TAXREV,TOT,PC_GDP,A,1992,26.065,
AUS,TAXREV,TOT,PC_GDP,A,1993,26.521,
AUS,TAXREV,TOT,PC_GDP,A,1994,27.419,
AUS,TAXREV,TOT,PC_GDP,A,1995,28.178,
AUS,TAXREV,TOT,PC_GDP,A,1996,28.822,
AUS,TAXREV,TOT,PC_GDP,A,1997,28.603,
AUS,TAXREV,TOT,PC_GDP,A,1998,29.391,
AUS,TAXREV,TOT,PC_GDP,A,1999,29.789,
AUS,TAXREV,TOT,PC_GDP,A,2000,30.377,
AUS,TAXREV,TOT,PC_GDP,A,2001,28.89,
AUS,TAXREV,TOT,PC_GDP,A,2002,29.739,
AUS,TAXREV,TOT,PC_GDP,A,2003,29.926,
AUS,TAXREV,TOT,PC_GDP,A,2004,30.258,
AUS,TAXREV,TOT,PC_GDP,A,2005,29.921,
AUS,TAXREV,TOT,PC_GDP,A,2006,29.387,
AUS,TAXREV,TOT,PC_GDP,A,2007,29.503,
AUS,TAXREV,TOT,PC_GDP,A,2008,26.874,
AUS,TAXREV,TOT,PC_GDP,A,2009,25.642,
AUS,TAXREV,TOT,PC_GDP,A,2010,25.417,
AUS,TAXREV,TOT,PC_GDP,A,2011,26.059,
AUS,TAXREV,TOT,PC_GDP,A,2012,27.115,
AUS,TAXREV,TOT,PC_GDP,A,2013,27.328,
AUS,TAXREV,TOT,PC_GDP,A,2014,27.604,
AUS,TAXREV,TOT,PC_GDP,A,2015,28.224,
AUT,TAXREV,TOT,PC_GDP,A,1965,33.59,
AUT,TAXREV,TOT,PC_GDP,A,1966,34.283,
AUT,TAXREV,TOT,PC_GDP,A,1967,34.183,
AUT,TAXREV,TOT,PC_GDP,A,1968,34.231,
AUT,TAXREV,TOT,PC_GDP,A,1969,34.684,
AUT,TAXREV,TOT,PC_GDP,A,1970,33.668,
AUT,TAXREV,TOT,PC_GDP,A,1971,34.343,
AUT,TAXREV,TOT,PC_GDP,A,1972,34.762,
AUT,TAXREV,TOT,PC_GDP,A,1973,34.933,
AUT,TAXREV,TOT,PC_GDP,A,1974,35.911,
AUT,TAXREV,TOT,PC_GDP,A,1975,36.423,
AUT,TAXREV,TOT,PC_GDP,A,1976,36.292,
AUT,TAXREV,TOT,PC_GDP,A,1977,36.637,
AUT,TAXREV,TOT,PC_GDP,A,1978,38.783,
AUT,TAXREV,TOT,PC_GDP,A,1979,38.187,
AUT,TAXREV,TOT,PC_GDP,A,1980,38.666,
AUT,TAXREV,TOT,PC_GDP,A,1981,39.743,
AUT,TAXREV,TOT,PC_GDP,A,1982,38.516,
AUT,TAXREV,TOT,PC_GDP,A,1983,38.206,
AUT,TAXREV,TOT,PC_GDP,A,1984,39.87,
AUT,TAXREV,TOT,PC_GDP,A,1985,40.534,
AUT,TAXREV,TOT,PC_GDP,A,1986,40.437,
AUT,TAXREV,TOT,PC_GDP,A,1987,40.055,
AUT,TAXREV,TOT,PC_GDP,A,1988,40.057,
AUT,TAXREV,TOT,PC_GDP,A,1989,39.039,
AUT,TAXREV,TOT,PC_GDP,A,1990,39.382,
AUT,TAXREV,TOT,PC_GDP,A,1991,39.844,
AUT,TAXREV,TOT,PC_GDP,A,1992,41.382,
AUT,TAXREV,TOT,PC_GDP,A,1993,41.789,
AUT,TAXREV,TOT,PC_GDP,A,1994,41.521,
AUT,TAXREV,TOT,PC_GDP,A,1995,41.371,
AUT,TAXREV,TOT,PC_GDP,A,1996,42.736,
AUT,TAXREV,TOT,PC_GDP,A,1997,43.536,
AUT,TAXREV,TOT,PC_GDP,A,1998,43.562,
AUT,TAXREV,TOT,PC_GDP,A,1999,43.182,
AUT,TAXREV,TOT,PC_GDP,A,2000,42.367,
AUT,TAXREV,TOT,PC_GDP,A,2001,43.972,
AUT,TAXREV,TOT,PC_GDP,A,2002,42.779,
AUT,TAXREV,TOT,PC_GDP,A,2003,42.567,
AUT,TAXREV,TOT,PC_GDP,A,2004,42.104,
AUT,TAXREV,TOT,PC_GDP,A,2005,41.185,
AUT,TAXREV,TOT,PC_GDP,A,2006,40.612,
AUT,TAXREV,TOT,PC_GDP,A,2007,40.782,
AUT,TAXREV,TOT,PC_GDP,A,2008,41.651,
AUT,TAXREV,TOT,PC_GDP,A,2009,41.246,
AUT,TAXREV,TOT,PC_GDP,A,2010,41.134,
AUT,TAXREV,TOT,PC_GDP,A,2011,41.318,
AUT,TAXREV,TOT,PC_GDP,A,2012,41.969,
AUT,TAXREV,TOT,PC_GDP,A,2013,42.816,
AUT,TAXREV,TOT,PC_GDP,A,2014,43.052,
AUT,TAXREV,TOT,PC_GDP,A,2015,43.665,
BEL,TAXREV,TOT,PC_GDP,A,1965,30.625,
BEL,TAXREV,TOT,PC_GDP,A,1966,32.723,
BEL,TAXREV,TOT,PC_GDP,A,1967,33.383,
BEL,TAXREV,TOT,PC_GDP,A,1968,34.198,
BEL,TAXREV,TOT,PC_GDP,A,1969,34.374,
BEL,TAXREV,TOT,PC_GDP,A,1970,33.247,
BEL,TAXREV,TOT,PC_GDP,A,1971,34.375,
BEL,TAXREV,TOT,PC_GDP,A,1972,34.224,
BEL,TAXREV,TOT,PC_GDP,A,1973,35.331,
BEL,TAXREV,TOT,PC_GDP,A,1974,36.212,
BEL,TAXREV,TOT,PC_GDP,A,1975,38.734,
BEL,TAXREV,TOT,PC_GDP,A,1976,38.933,
BEL,TAXREV,TOT,PC_GDP,A,1977,40.846,
BEL,TAXREV,TOT,PC_GDP,A,1978,41.42,
BEL,TAXREV,TOT,PC_GDP,A,1979,42.172,
BEL,TAXREV,TOT,PC_GDP,A,1980,40.509,
BEL,TAXREV,TOT,PC_GDP,A,1981,40.772,
BEL,TAXREV,TOT,PC_GDP,A,1982,41.984,
BEL,TAXREV,TOT,PC_GDP,A,1983,42.682,
BEL,TAXREV,TOT,PC_GDP,A,1984,43.395,
BEL,TAXREV,TOT,PC_GDP,A,1985,43.481,
BEL,TAXREV,TOT,PC_GDP,A,1986,43.23,
BEL,TAXREV,TOT,PC_GDP,A,1987,43.858,
BEL,TAXREV,TOT,PC_GDP,A,1988,42.547,
BEL,TAXREV,TOT,PC_GDP,A,1989,40.739,
BEL,TAXREV,TOT,PC_GDP,A,1990,41.172,
BEL,TAXREV,TOT,PC_GDP,A,1991,41.387,
BEL,TAXREV,TOT,PC_GDP,A,1992,40.961,
BEL,TAXREV,TOT,PC_GDP,A,1993,42.405,
BEL,TAXREV,TOT,PC_GDP,A,1994,42.684,
BEL,TAXREV,TOT,PC_GDP,A,1995,42.609,
BEL,TAXREV,TOT,PC_GDP,A,1996,43.02,
BEL,TAXREV,TOT,PC_GDP,A,1997,43.451,
BEL,TAXREV,TOT,PC_GDP,A,1998,44.084,
BEL,TAXREV,TOT,PC_GDP,A,1999,43.893,
BEL,TAXREV,TOT,PC_GDP,A,2000,43.537,
BEL,TAXREV,TOT,PC_GDP,A,2001,43.454,
BEL,TAXREV,TOT,PC_GDP,A,2002,43.627,
BEL,TAXREV,TOT,PC_GDP,A,2003,43.142,
BEL,TAXREV,TOT,PC_GDP,A,2004,43.214,
BEL,TAXREV,TOT,PC_GDP,A,2005,43.151,
BEL,TAXREV,TOT,PC_GDP,A,2006,42.959,
BEL,TAXREV,TOT,PC_GDP,A,2007,42.721,
BEL,TAXREV,TOT,PC_GDP,A,2008,43.25,
BEL,TAXREV,TOT,PC_GDP,A,2009,42.37,
BEL,TAXREV,TOT,PC_GDP,A,2010,42.622,
BEL,TAXREV,TOT,PC_GDP,A,2011,43.141,
BEL,TAXREV,TOT,PC_GDP,A,2012,44.177,
BEL,TAXREV,TOT,PC_GDP,A,2013,45.164,
BEL,TAXREV,TOT,PC_GDP,A,2014,44.993,
BEL,TAXREV,TOT,PC_GDP,A,2015,44.813,
CAN,TAXREV,TOT,PC_GDP,A,1965,25.221,
CAN,TAXREV,TOT,PC_GDP,A,1966,26.296,
